,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = F/same)
0,Sync Time,1.499504309999793,,,
1,Stim 0 Onset,14.566156640999907,,,
2,Button Pressed,2,24 (NEU_M18),2,1
3,Stim 1 Onset,16.56304983100017,,,
4,Button Pressed,2,25 (NEU_M24),2,1
5,Stim 2 Onset,18.56284907400004,,,
6,Button Pressed,2,27 (NEU_M31),2,1
7,Stim 3 Onset,20.562970312999823,,,
8,Button Pressed,2,32 (FEA_M09),2,1
9,Stim 0 Onset,27.566144819999863,,,
10,Bar Orientation,1,,,
11,Button Pressed,2,diffOri,2,1
12,Stim 1 Onset,29.563086016999478,,,
13,Bar Orientation,0,,,
14,Button Pressed,2,diffOri,2,1
15,Stim 2 Onset,31.56293517999984,,,
16,Bar Orientation,3,,,
17,Button Pressed,2,sameOri,1,0
18,Stim 3 Onset,33.562821645999975,,,
19,Bar Orientation,2,,,
20,Button Pressed,1,sameOri,1,1
21,Stim 0 Onset,40.566293095999754,,,
22,Button Pressed,2,22 (NEU_M17),2,1
23,Stim 1 Onset,42.56301861199972,,,
24,Button Pressed,2,11 (HAP_M06),2,1
25,Stim 2 Onset,44.562880522999876,,,
26,Button Pressed,1,19 (NEU_F13),1,1
27,Stim 3 Onset,46.56311237099999,,,
28,Button Pressed,2,26 (NEU_M29),2,1
29,Stim 0 Onset,53.56645423200007,,,
30,Bar Orientation,1,,,
31,Button Pressed,2,diffOri,2,1
32,Stim 1 Onset,55.56290928,,,
33,Bar Orientation,2,,,
34,Button Pressed,1,sameOri,1,1
35,Stim 2 Onset,57.563269831999605,,,
36,Bar Orientation,1,,,
37,Button Pressed,2,diffOri,2,1
38,Stim 3 Onset,59.56293339700005,,,
39,Bar Orientation,2,,,
40,Button Pressed,1,sameOri,1,1
41,Stim 0 Onset,66.56600151200018,,,
42,Button Pressed,1,30 (FEA_F35),1,1
43,Stim 1 Onset,68.56304516199998,,,
44,Button Pressed,2,28 (FEA_F31),1,0
45,Stim 2 Onset,70.56284784800027,,,
