,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = M/Diff)
0,Sync Time,1.4974370110012387,,,
1,Stim 0 Onset,14.565267656000287,,,
2,Button Pressed,2,20 (NEU_F20),2,1
3,Stim 1 Onset,16.562007932001507,,,
4,Button Pressed,1,2 (FEA_M11),1,1
5,Stim 2 Onset,18.562151108000762,,,
6,Button Pressed,2,4 (HAP_F02),2,1
7,Stim 3 Onset,20.562146609001502,,,
8,Button Pressed,2,23 (FEA_F30),2,1
9,Stim 0 Onset,27.565265338000245,,,
10,Bar Orientation,3,,,
11,Button Pressed,2,sameOri,2,1
12,Stim 1 Onset,29.562162023001292,,,
13,Bar Orientation,1,,,
14,Button Pressed,1,diffOri,1,1
15,Stim 2 Onset,31.561931582000398,,,
16,Bar Orientation,3,,,
17,Button Pressed,2,sameOri,2,1
18,Stim 3 Onset,33.562348668001505,,,
19,Bar Orientation,1,,,
20,Button Pressed,1,diffOri,1,1
21,Stim 0 Onset,40.565260561001196,,,
22,Button Pressed,1,11 (HAP_M06),1,1
23,Stim 1 Onset,42.562151140000424,,,
24,Button Pressed,2,17 (NEU_F05),2,1
25,Stim 2 Onset,44.562123809000695,,,
26,Button Pressed,2,5 (HAP_F03),2,1
27,Stim 3 Onset,46.56200417400032,,,
28,Button Pressed,2,19 (NEU_F13),2,1
29,Stim 0 Onset,53.56536573000085,,,
30,Bar Orientation,3,,,
31,Button Pressed,2,sameOri,2,1
32,Stim 1 Onset,55.56212905200118,,,
33,Bar Orientation,3,,,
34,Button Pressed,2,sameOri,2,1
35,Stim 2 Onset,57.56191543500063,,,
36,Bar Orientation,0,,,
37,Button Pressed,1,diffOri,1,1
38,Stim 3 Onset,59.56198826800028,,,
39,Bar Orientation,3,,,
40,Button Pressed,2,sameOri,2,1
41,Stim 0 Onset,66.56547135500114,,,
42,Button Pressed,2,16 (NEU_F01),2,1
43,Stim 1 Onset,68.56194077100008,,,
44,Button Pressed,2,8 (HAP_F19),2,1
45,Stim 2 Onset,70.56216123000013,,,
46,Button Pressed,2,6 (HAP_F11),2,1
47,Stim 3 Onset,72.56205849700018,,,
48,Button Pressed,1,32 (FEA_M09),1,1
49,Stim 0 Onset,79.56519630600087,,,
50,Bar Orientation,3,,,
51,Button Pressed,2,sameOri,2,1
52,Stim 1 Onset,81.56215983500078,,,
53,Bar Orientation,2,,,
54,Button Pressed,2,sameOri,2,1
55,Stim 2 Onset,83.56192462900071,,,
56,Bar Orientation,3,,,
57,Button Pressed,2,sameOri,2,1
58,Stim 3 Onset,85.56224687500071,,,
59,Bar Orientation,1,,,
60,Button Pressed,1,diffOri,1,1
61,Stim 0 Onset,92.56563749199995,14 (HAP_M23),NR,0
62,Stim 1 Onset,94.56213357399974,,,
63,Button Pressed,1,,,
64,Button Pressed,1,25 (NEU_M24),1,1
65,Stim 2 Onset,96.56196435,,,
66,Button Pressed,1,10 (HAP_M05),1,1
67,Stim 3 Onset,98.56206574000134,,,
68,Button Pressed,2,12 (FEA_F29),2,1
69,Stim 0 Onset,105.56524287400134,,,
70,Bar Orientation,2,,,
71,Button Pressed,1,sameOri,2,0
72,Stim 1 Onset,107.56194149800103,,,
73,Bar Orientation,2,,,
74,Button Pressed,2,,,
75,Button Pressed,2,sameOri,2,1
