,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1=M/diff)
0,Sync Time,1.5013746559998253,,,
1,Stim 0 Onset,14.571582433000003,,,
2,Button Pressed,1,15 (HAP_M25),1,1
3,Stim 1 Onset,16.56867321900063,,,
4,Button Pressed,1,28 (FEA_F31),2,0
5,Stim 2 Onset,18.568628544000603,,,
6,Button Pressed,2,12 (FEA_F29),2,1
7,Stim 3 Onset,20.568243875000917,,,
8,Button Pressed,1,26 (NEU_M29),1,1
9,Stim 0 Onset,27.571498667000924,,,
10,Bar Orientation,2,,,
11,Button Pressed,2,sameOri,2,1
12,Stim 1 Onset,29.568488790999254,,,
13,Bar Orientation,3,,,
14,Button Pressed,2,sameOri,2,1
15,Stim 2 Onset,31.56824162200064,,,
16,Bar Orientation,1,,,
17,Button Pressed,1,diffOri,1,1
18,Stim 3 Onset,33.568355994999365,,,
19,Bar Orientation,2,,,
20,Button Pressed,2,sameOri,2,1
21,Stim 0 Onset,40.571521707999636,,,
22,Button Pressed,2,19 (NEU_F13),2,1
23,Stim 1 Onset,42.56849898800101,,,
24,Button Pressed,1,32 (FEA_M09),1,1
25,Stim 2 Onset,44.568260255000496,,,
26,Button Pressed,1,13 (HAP_M22),1,1
27,Stim 3 Onset,46.568525044000125,,,
28,Button Pressed,1,9 (HAP_M03),1,1
29,Stim 0 Onset,53.571689971000524,,,
30,Bar Orientation,1,,,
31,Button Pressed,2,,,
32,Button Pressed,1,diffOri,1,1
33,Stim 1 Onset,55.56844748799995,,,
34,Bar Orientation,0,,,
35,Button Pressed,1,diffOri,1,1
36,Stim 2 Onset,57.56838751599935,,,
37,Bar Orientation,1,,,
38,Button Pressed,1,diffOri,1,1
39,Stim 3 Onset,59.568225727000026,,,
40,Bar Orientation,2,,,
41,Button Pressed,2,sameOri,2,1
42,Stim 0 Onset,66.57192450500042,,,
43,Button Pressed,1,14 (HAP_M23),1,1
44,Stim 1 Onset,68.56821536499956,,,
45,Button Pressed,2,30 (FEA_F35),2,1
46,Stim 2 Onset,70.56836081899928,,,
47,Button Pressed,1,2 (FEA_M11),1,1
48,Stim 3 Onset,72.56848520600033,,,
49,Button Pressed,2,4 (HAP_F02),2,1
50,Stim 0 Onset,79.57150276900029,,,
51,Bar Orientation,0,diffOri,NR,0
52,Stim 1 Onset,81.56820071900074,,,
53,Bar Orientation,1,,,
54,Button Pressed,1,,,
55,Button Pressed,1,diffOri,1,1
56,Stim 2 Onset,83.56817738400059,,,
57,Bar Orientation,1,,,
58,Button Pressed,1,diffOri,1,1
59,Stim 3 Onset,85.56846784899972,,,
60,Bar Orientation,2,,,
61,Button Pressed,2,sameOri,2,1
62,Stim 0 Onset,92.57153120399926,,,
63,Button Pressed,1,20 (NEU_F20),2,0
64,Stim 1 Onset,94.56831895399955,,,
65,Button Pressed,1,18 (NEU_F07),2,0
66,Stim 2 Onset,96.56878022,,,
67,Button Pressed,1,22 (NEU_M17),1,1
68,Stim 3 Onset,98.56844796500081,,,
69,Button Pressed,1,8 (HAP_F19),2,0
70,Stim 0 Onset,105.57163353900069,,,
71,Bar Orientation,0,,,
72,Button Pressed,2,diffOri,1,0
73,Stim 1 Onset,107.56861790599942,,,
74,Bar Orientation,2,,,
75,Button Pressed,1,,,
76,Button Pressed,2,sameOri,2,1
77,Stim 2 Onset,109.5682280330002,,,
78,Bar Orientation,1,,,
79,Button Pressed,1,diffOri,1,1
80,Stim 3 Onset,111.5683373289994,,,
81,Bar Orientation,1,,,
82,Button Pressed,1,diffOri,1,1
83,Stim 0 Onset,118.5715254959996,,,
84,Button Pressed,2,25 (NEU_M24),1,0
85,Stim 1 Onset,120.5683821420007,,,
86,Button Pressed,1,1 (FEA_F09),2,0
