,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=M/diff)
0,Sync Time,1.5014314030013338,,,
1,Stim 0 Onset,14.568311824001285,,,
2,Button Pressed,1,24 (NEU_M18),1,1
3,Stim 1 Onset,16.565368320001653,,,
4,Button Pressed,1,25 (NEU_M24),1,1
5,Stim 2 Onset,18.56499914500091,,,
6,Button Pressed,1,27 (NEU_M31),1,1
7,Stim 3 Onset,20.565025525000237,,,
8,Button Pressed,2,,,
9,Button Pressed,1,32 (FEA_M09),1,1
10,Stim 0 Onset,27.568251743001383,,,
11,Bar Orientation,0,,,
12,Button Pressed,1,diffOri,1,1
13,Stim 1 Onset,29.565875035001227,,,
14,Bar Orientation,3,,,
15,Button Pressed,2,sameOri,2,1
16,Stim 2 Onset,31.56534304300112,,,
17,Bar Orientation,2,,,
18,Button Pressed,2,sameOri,2,1
19,Stim 3 Onset,33.56503316199996,,,
20,Bar Orientation,2,,,
21,Button Pressed,2,sameOri,2,1
22,Stim 0 Onset,40.56820028000038,,,
23,Button Pressed,1,22 (NEU_M17),1,1
24,Stim 1 Onset,42.56501679300163,,,
25,Button Pressed,1,11 (HAP_M06),1,1
26,Stim 2 Onset,44.565208016001634,,,
27,Button Pressed,2,19 (NEU_F13),2,1
28,Stim 3 Onset,46.56512306700097,,,
29,Button Pressed,1,26 (NEU_M29),1,1
30,Stim 0 Onset,53.568590260001656,,,
31,Bar Orientation,3,,,
32,Button Pressed,2,sameOri,2,1
33,Stim 1 Onset,55.565234859001066,,,
34,Bar Orientation,2,,,
35,Button Pressed,2,sameOri,2,1
36,Stim 2 Onset,57.56522100100119,,,
37,Bar Orientation,2,,,
38,Button Pressed,2,sameOri,2,1
39,Stim 3 Onset,59.56530182500137,,,
40,Bar Orientation,2,,,
41,Button Pressed,2,sameOri,2,1
42,Stim 0 Onset,66.56845098500162,,,
43,Button Pressed,1,,,
44,Button Pressed,2,30 (FEA_F35),2,1
45,Stim 1 Onset,68.56504154700087,,,
46,Button Pressed,1,28 (FEA_F31),2,0
47,Stim 2 Onset,70.56524641800024,,,
48,Button Pressed,2,20 (NEU_F20),2,1
49,Stim 3 Onset,72.56526137200126,,,
50,Button Pressed,1,15 (HAP_M25),1,1
51,Stim 0 Onset,79.56836575700072,,,
52,Bar Orientation,1,,,
53,Button Pressed,1,diffOri,1,1
54,Stim 1 Onset,81.56540641900028,,,
55,Bar Orientation,0,,,
56,Button Pressed,1,diffOri,1,1
57,Stim 2 Onset,83.56530782500158,,,
58,Bar Orientation,2,,,
59,Button Pressed,2,sameOri,2,1
60,Stim 3 Onset,85.5650266,,,
61,Bar Orientation,1,,,
62,Button Pressed,1,diffOri,1,1
63,Stim 0 Onset,92.56830716300101,,,
64,Button Pressed,1,13 (HAP_M22),1,1
65,Stim 1 Onset,94.56511743800002,,,
66,Button Pressed,2,23 (FEA_F30),2,1
67,Stim 2 Onset,96.56526481000037,,,
68,Button Pressed,2,8 (HAP_F19),2,1
69,Stim 3 Onset,98.56510244499987,,,
70,Button Pressed,1,14 (HAP_M23),1,1
71,Stim 0 Onset,105.56840261400066,,,
72,Bar Orientation,3,,,
73,Button Pressed,2,sameOri,2,1
74,Stim 1 Onset,107.56526589900022,,,
75,Bar Orientation,0,,,
76,Button Pressed,1,diffOri,1,1
77,Stim 2 Onset,109.56596668800012,,,
78,Bar Orientation,2,,,
79,Button Pressed,2,sameOri,2,1
80,Stim 3 Onset,111.56528327200067,,,
81,Bar Orientation,2,,,
82,Button Pressed,2,sameOri,2,1
83,Stim 0 Onset,118.56865612100046,,,
84,Button Pressed,1,29 (FEA_F33),2,0
85,Stim 1 Onset,120.56535881500167,,,
86,Button Pressed,2,1 (FEA_F09),2,1
87,Stim 2 Onset,122.56532593500015,,,
88,Button Pressed,1,31 (FEA_M08),1,1
89,Stim 3 Onset,124.56511745400167,,,
90,Button Pressed,2,16 (NEU_F01),2,1
91,Stim 0 Onset,131.56841569900098,,,
92,Bar Orientation,3,,,
93,Button Pressed,2,sameOri,2,1
94,Stim 1 Onset,133.5651532970005,,,
95,Bar Orientation,3,,,
96,Button Pressed,2,sameOri,2,1
97,Stim 2 Onset,135.56504354700155,,,
98,Bar Orientation,0,,,
99,Button Pressed,1,diffOri,1,1
100,Stim 3 Onset,137.56503195200094,,,
101,Bar Orientation,2,,,
102,Button Pressed,2,sameOri,2,1
103,Stim 0 Onset,144.56835916100135,,,
104,Button Pressed,2,12 (FEA_F29),2,1
105,Stim 1 Onset,146.56533583000055,,,
106,Button Pressed,2,4 (HAP_M23),1,0
107,Stim 2 Onset,148.5652527830007,,,
108,Button Pressed,1,,,
109,Button Pressed,2,6 (HAP_F11),2,1
110,Stim 3 Onset,150.5650217600014,,,
111,Button Pressed,1,21 (NEU_M13),1,1
112,Stim 0 Onset,157.56824020000022,,,
113,Bar Orientation,2,,,
114,Button Pressed,2,sameOri,2,1
115,Stim 1 Onset,159.56542038000043,,,
116,Bar Orientation,0,,,
117,Button Pressed,1,diffOri,1,1
118,Stim 2 Onset,161.56505009500142,,,
119,Bar Orientation,3,,,
120,Button Pressed,2,sameOri,2,1
121,Stim 3 Onset,163.56500526400123,,,
122,Bar Orientation,3,,,
123,Button Pressed,2,,,
124,Button Pressed,2,sameOri,2,1
125,Stim 0 Onset,170.56837155600078,2 (FEA_M11),NR,0
126,Stim 1 Onset,172.56545703600023,,,
127,Button Pressed,2,,,
128,Button Pressed,2,5 (HAP_F03),2,1
129,Stim 2 Onset,174.56514093600163,,,
130,Button Pressed,2,17 (NEU_F05),2,1
131,Stim 3 Onset,176.5650332640016,,,
132,Button Pressed,2,7 (HAP_F16),2,1
133,Stim 0 Onset,183.56869669900152,,,
134,Bar Orientation,1,,,
135,Button Pressed,1,diffOri,1,1
136,Stim 1 Onset,185.5651772000001,,,
137,Bar Orientation,3,,,
138,Button Pressed,1,,,
139,Button Pressed,2,sameOri,2,1
140,Stim 2 Onset,187.56514087600044,,,
141,Bar Orientation,2,,,
142,Button Pressed,2,sameOri,2,1
143,Stim 3 Onset,189.56513090100088,,,
144,Bar Orientation,0,,,
145,Button Pressed,2,diffOri,1,1
146,Stim 0 Onset,196.56831326000065,,,
147,Button Pressed,1,9 (HAP_M03),1,1
148,Stim 1 Onset,198.56512587100042,,,
149,Button Pressed,1,3 (FEA_M12),1,1
150,Stim 2 Onset,200.56502914500015,,,
151,Button Pressed,1,10 (HAP_M05),1,1
152,Stim 3 Onset,202.56532855100158,,,
