,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1=F/same)
0,Sync Time,1.4994458739965921,,,
1,Stim 0 Onset,14.587027297995519,20 (NEU_F20),NR,0
2,Stim 1 Onset,16.58393213999807,2 (FEA_M11),NR,0
3,Stim 2 Onset,18.58390172899817,,,
4,Button Pressed,2,4 (HAP_F02),1,0
5,Stim 3 Onset,20.583948711995617,,,
6,Button Pressed,1,23 (FEA_F30),1,1
7,Stim 0 Onset,27.587246176000917,,,
8,Bar Orientation,0,,,
9,Button Pressed,1,diffOri,2,0
10,Stim 1 Onset,29.583961043987074,,,
11,Bar Orientation,3,,,
12,Button Pressed,2,sameOri,1,0
13,Stim 2 Onset,31.58400582098693,,,
14,Bar Orientation,1,,,
15,Button Pressed,1,diffOri,2,0
16,Stim 3 Onset,33.583900950994575,,,
17,Bar Orientation,2,,,
18,Button Pressed,1,sameOri,1,1
19,Stim 0 Onset,40.58718070399482,,,
20,Button Pressed,1,11 (HAP_M06),2,0
21,Stim 1 Onset,42.58404423,,,
22,Button Pressed,2,17 (NEU_F05),1,0
23,Stim 2 Onset,44.584055603991146,,,
24,Button Pressed,1,5 (HAP_F03),1,1
25,Stim 3 Onset,46.58389295199595,,,
26,Button Pressed,1,19 (NEU_F13),1,1
27,Stim 0 Onset,53.587851979988045,,,
28,Bar Orientation,2,,,
29,Button Pressed,2,sameOri,1,0
30,Stim 1 Onset,55.58390005399997,,,
31,Bar Orientation,2,,,
32,Button Pressed,1,sameOri,1,1
33,Stim 2 Onset,57.58392771999934,,,
34,Bar Orientation,3,,,
35,Button Pressed,1,sameOri,1,1
36,Stim 3 Onset,59.58417372699478,,,
37,Bar Orientation,1,,,
38,Button Pressed,1,diffOri,2,0
39,Stim 0 Onset,66.58713514798728,,,
40,Button Pressed,1,16 (NEU_F01),1,1
41,Stim 1 Onset,68.58415414798947,,,
42,Button Pressed,2,8 (HAP_F19),1,0
43,Stim 2 Onset,70.58398262898845,,,
44,Button Pressed,1,6 (HAP_F11),1,1
45,Stim 3 Onset,72.58398362499429,,,
46,Button Pressed,1,32 (FEA_M09),2,0
47,Stim 0 Onset,79.58723374799592,,,
48,Bar Orientation,3,sameOri,NR,0
49,Stim 1 Onset,81.58385876700049,,,
50,Bar Orientation,0,,,
51,Button Pressed,1,,,
52,Button Pressed,2,diffOri,2,1
53,Stim 2 Onset,83.58408923599927,,,
54,Bar Orientation,1,,,
55,Button Pressed,1,diffOri,2,0
56,Stim 3 Onset,85.58393406299001,,,
57,Bar Orientation,3,,,
58,Button Pressed,2,sameOri,1,0
59,Stim 0 Onset,92.58723980499781,,,
60,Button Pressed,2,14 (HAP_M23),2,1
61,Stim 1 Onset,94.58409398,,,
62,Button Pressed,2,25 (NEU_M24),2,1
63,Stim 2 Onset,96.58398452,,,
64,Button Pressed,1,10 (HAP_M05),2,0
65,Stim 3 Onset,98.58399292398826,12 (FEA_F29),NR,0
66,Stim 0 Onset,105.58706422099203,,,
67,Bar Orientation,0,diffOri,NR,0
68,Stim 1 Onset,107.58391159599705,,,
69,Bar Orientation,1,,,
70,Button Pressed,2,diffOri,2,1
71,Stim 2 Onset,109.58382346799772,,,
72,Bar Orientation,3,,,
73,Button Pressed,1,sameOri,1,1
74,Stim 3 Onset,111.58428941699094,,,
75,Bar Orientation,3,,,
76,Button Pressed,1,sameOri,1,1
77,Stim 0 Onset,118.58734487798938,13 (HAP_M22),,
78,Stim 1 Onset,120.58394148599473,,,
79,Button Pressed,1,,,
80,Button Pressed,1,3 (FEA_M12),2,0
81,Stim 2 Onset,122.5840612489992,,,
82,Button Pressed,2,28 (FEA_F31),1,0
83,Stim 3 Onset,124.58407625398831,,,
84,Button Pressed,1,18 (NEU_F07),1,1
85,Stim 0 Onset,131.587363,,,
86,Bar Orientation,3,,,
87,Button Pressed,1,sameOri,1,1
88,Stim 1 Onset,133.5841416100011,,,
89,Bar Orientation,3,,,
90,Button Pressed,1,sameOri,1,1
91,Stim 2 Onset,135.58418270299444,,,
92,Bar Orientation,3,,,
93,Button Pressed,1,sameOri,1,1
94,Stim 3 Onset,137.5839908449998,,,
95,Bar Orientation,2,,,
96,Button Pressed,1,sameOri,1,1
97,Stim 0 Onset,144.5871386959916,,,
98,Button Pressed,2,1 (FEA_F09),1,0
99,Stim 1 Onset,146.58406819798984,,,
100,Button Pressed,2,9 (HAP_M03),2,1
101,Stim 2 Onset,148.58383046298695,,,
102,Button Pressed,1,7 (HAP_F16),1,1
103,Stim 3 Onset,150.58424280599866,,,
104,Button Pressed,2,15 (HAP_M25),2,1
105,Stim 0 Onset,157.58728395099752,,,
106,Bar Orientation,1,diffOri,NR,0
107,Stim 1 Onset,159.58423465798842,,,
