,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = M/Diff)
0,Sync Time,1.5009214519959642,,,
1,Stim 0 Onset,14.568248320996645,,,
2,Button Pressed,2,20 (NEU_F20),2,1
3,Stim 1 Onset,16.56501656299224,,,
4,Button Pressed,1,2 (FEA_M11),1,1
5,Stim 2 Onset,18.564587643995765,,,
6,Button Pressed,2,4 (HAP_F02),2,1
7,Stim 3 Onset,20.564862347993767,,,
8,Button Pressed,2,23 (FEA_F30),2,1
9,Stim 0 Onset,27.568156103996444,,,
10,Bar Orientation,0,diffOri,1,0
11,Stim 1 Onset,29.564831512994715,,,
12,Bar Orientation,3,sameOri,2,
13,Button Pressed,1,,,
14,Button Pressed,2,,,1
15,Stim 2 Onset,31.564730514000985,,,
16,Bar Orientation,0,diffOri,1,
17,Button Pressed,1,,,1
18,Stim 3 Onset,33.564645655002096,,,
19,Bar Orientation,0,sameOri,2,
20,Button Pressed,1,,,0
21,Stim 0 Onset,40.56897864899656,,,
22,Button Pressed,1,11 (HAP_M06),1,1
23,Stim 1 Onset,42.564783281995915,,,
24,Button Pressed,2,17 (NEU_F05),2,1
25,Stim 2 Onset,44.56477434,,,
26,Button Pressed,2,5 (HAP_F03),2,1
27,Stim 3 Onset,46.565004559000954,,,
28,Button Pressed,2,19 (NEU_F13),2,1
29,Stim 0 Onset,53.568961270997534,,,
30,Bar Orientation,0,,,
31,Button Pressed,1,diffOri,1,1
32,Stim 1 Onset,55.564548485999694,,,
33,Bar Orientation,3,,,
34,Button Pressed,2,sameOri,2,1
35,Stim 2 Onset,57.56461440199928,,,
36,Bar Orientation,3,sameOri,NR,0
37,Stim 3 Onset,59.56454813700111,,,
38,Bar Orientation,0,diffOri,1,1
39,Button Pressed,1,,,
40,Stim 0 Onset,66.56927329699101,,,0
41,Stim 1 Onset,68.56496175199572,,,
42,Button Pressed,2,16 (NEU_F01),2,1
43,Button Pressed,2,8 (HAP_F19),2,1
44,Stim 2 Onset,70.56499046499084,,,
45,Button Pressed,2,6 (HAP_F11),2,1
46,Stim 3 Onset,72.56475564799621,,,
47,Button Pressed,1,32 (FEA_M09),1,1
48,Stim 0 Onset,79.56834025999706,,,
49,Bar Orientation,3,sameOri,2,0
50,Stim 1 Onset,81.56457989499904,,,
51,Bar Orientation,1,diffOri,1,0
52,Button Pressed,2,,,
53,Button Pressed,1,,,
