,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=M/diff),,
0,Sync Time,1.5004684159939643,,,,,
1,Stim 0 Onset,14.558972939994419,,,,,
2,Button Pressed,2,24 (NEU_M18),1,0,,"Sub 2, 5 "
3,Stim 1 Onset,16.55573100798938,,1,,,"1 - MAle , 2 - female"
4,Button Pressed,1,25 (NEU_M24),,0,,"1-different, 2 - Same"
5,Stim 2 Onset,18.55600370299362,,,,,
6,Button Pressed,1,27 (NEU_M31),1,0,,Bar orientation stimuli ID
7,Stim 3 Onset,20.556020345989964,32 (FEA_M09),,,," 0, 1 : different "
8,Button Pressed,1,,2,0,,"2, 3 : Same bar orientation "
9,Stim 0 Onset,27.558916167996358,,,,,
10,Bar Orientation,0,diffOri,,1,,
11,Button Pressed,1,,1,,,
12,Stim 1 Onset,29.555907975998707,,,,,
13,Bar Orientation,0,diffOri,,1,,
14,Button Pressed,1,,1,,,
15,Stim 2 Onset,31.55615057099203,,,,,
16,Bar Orientation,2,sameOri,2,1,,
17,Button Pressed,2,,,,,
18,Stim 3 Onset,33.555781349001336,,,,,
19,Bar Orientation,2,sameOri,,1,,
20,Button Pressed,2,,2,,,
21,Stim 0 Onset,40.559319576001144,22 (NEU_M17),,,,
22,Button Pressed,1,,1,1,,
23,Stim 1 Onset,42.55602905,11 (HAP_M06),,,,
24,Button Pressed,1,,1,1,,
25,Stim 2 Onset,44.55593581699941,,,,,
26,Button Pressed,2,19 (NEU_F13),2,1,,
27,Stim 3 Onset,46.555774332999135,,,,,
28,Button Pressed,1,26 (NEU_M29),1,1,,
29,Stim 0 Onset,53.55929739,,,,,
30,Bar Orientation,1,diffOri,,1,,
31,Button Pressed,1,,1,,,
32,Stim 1 Onset,55.555868960000225,,,,,
33,Bar Orientation,3,sameOri,,1,,
34,Button Pressed,2,,2,,,
35,Stim 2 Onset,57.55565165900043,,,,,
36,Bar Orientation,2,sameOri,2,0,,
37,Button Pressed,1,,,,,
38,Stim 3 Onset,59.55586624499119,,,,,
39,Bar Orientation,2,sameOri,2,1,,
40,Button Pressed,2,,,,,
41,Stim 0 Onset,66.55911365999782,30 (FEA_F35),,1,,
42,Button Pressed,2,,2,,,
43,Stim 1 Onset,68.55602546299633,28 (FEA_F31),,1,,
44,Button Pressed,2,,2,,,
45,Stim 2 Onset,70.55574098198849,,,,,
46,Button Pressed,2,20 (NEU_F20),2,1,,
47,Stim 3 Onset,72.55578855499334,,,,,
48,Button Pressed,1,15 (HAP_M25),1,1,,
49,Stim 0 Onset,79.5595451,,,,,
50,Bar Orientation,3,sameOri,,1,,
51,Button Pressed,2,,2,,,
52,Stim 1 Onset,81.55590171299991,,,,,
53,Bar Orientation,1,diffOri,,1,,
54,Button Pressed,1,,1,,,
55,Stim 2 Onset,83.55575522099389,,,,,
56,Bar Orientation,1,diffOri,NR,0,,
57,Stim 3 Onset,85.55607899499591,,,,,
58,Bar Orientation,3,sameOri,,1,,
59,Button Pressed,1,,,,,
60,Button Pressed,1,,,,,
61,Button Pressed,2,,2,,,
62,Stim 0 Onset,92.55779396199796,13 (HAP_M22),,,,
63,Button Pressed,1,,1,1,,
64,Stim 1 Onset,94.55577584999264,23 (FEA_F30),,,,
65,Button Pressed,2,,2,1,,
66,Stim 2 Onset,96.55570307299786,8 (HAP_F19),,,,
67,Button Pressed,2,,2,1,,
68,Stim 3 Onset,98.55565662299341,14 (HAP_M23),,,,
69,Button Pressed,1,,1,1,,
70,Stim 0 Onset,105.55903681500058,,,,,
71,Bar Orientation,3,sameOri,,1,,
72,Button Pressed,2,,2,,,
73,Stim 1 Onset,107.5556610289932,,,,,
74,Bar Orientation,3,sameOri,,1,,
75,Button Pressed,2,,2,,,
76,Stim 2 Onset,109.55577007499232,,,,,
77,Bar Orientation,3,sameOri,,1,,
78,Button Pressed,2,,2,,,
79,Stim 3 Onset,111.55599629199423,,,,,
80,Bar Orientation,1,diffOri,1,1,,
81,Button Pressed,1,,,,,
82,Stim 0 Onset,118.55982287599181,29 (FEA_F33),,1,,
83,Button Pressed,2,,2,,,
84,Stim 1 Onset,120.55575419199886,1 (FEA_F09),,1,,
85,Button Pressed,2,,2,,,
86,Stim 2 Onset,122.55585631699068,31 (FEA_M08),,1,,
87,Button Pressed,1,,1,,,
88,Stim 3 Onset,124.55578275499283,16 (NEU_F01),,1,,
89,Button Pressed,1,,,,,
90,Button Pressed,2,,2,,,
91,Stim 0 Onset,131.55749562798883,,,,,
92,Bar Orientation,3,sameOri,NR,0,,
93,Stim 1 Onset,133.5558666789875,,,,,
94,Bar Orientation,2,sameOri,,1,,
95,Button Pressed,2,,2,,,
96,Button Pressed,2,,,,,
97,Stim 2 Onset,135.55588546799845,,,,,
98,Bar Orientation,1,diffOri,1,1,,
99,Button Pressed,1,,,,,
100,Stim 3 Onset,137.55569353399915,,,,,
101,Bar Orientation,1,diffOri,,1,,
102,Button Pressed,1,,1,,,
103,Stim 0 Onset,144.55907503199705,,,,,
104,Button Pressed,2,12 (FEA_F29),2,1,,
105,Stim 1 Onset,146.5559311919933,,,,,
106,Button Pressed,1,4 (HAP_M23),1,1,,
107,Stim 2 Onset,148.55609561500023,,,,,
108,Button Pressed,2,6 (HAP_F11),2,1,,
109,Stim 3 Onset,150.55625459300063,,,,,
110,Button Pressed,2,21 (NEU_M13),1,0,,
111,Stim 0 Onset,157.5594282289967,,,,,
112,Bar Orientation,3,sameOri,NR,0,,
113,Stim 1 Onset,159.55598195899802,,,,,
114,Bar Orientation,1,diffOri,,0,,
115,Button Pressed,1,,1,,,
116,Button Pressed,2,,,,,
117,Stim 2 Onset,161.55576508499507,,,,,
118,Bar Orientation,1,diffOri,,0,,
119,Button Pressed,2,,1,,,
120,Stim 3 Onset,163.5558204400004,,,,,
121,Bar Orientation,3,sameOri,,0,,
122,Button Pressed,1,,2,,,
123,Stim 0 Onset,170.55895324899757,2 (FEA_M11),NR,0,,
124,Stim 1 Onset,172.55596869999135,5 (HAP_F03),,,,
125,Button Pressed,2,,2,1,,
126,Button Pressed,1,,,,,
127,Stim 2 Onset,174.55612125599873,17 (NEU_F05),2,1,,
128,Button Pressed,2,,,,,
129,Stim 3 Onset,176.55602068299777,7 (HAP_F16),,,,
130,Button Pressed,2,,2,1,,
131,Stim 0 Onset,183.55939787298848,,,,,
132,Bar Orientation,3,sameOri,2,0,,
133,Button Pressed,1,,,,,
134,Stim 1 Onset,185.55602464999538,,,,,
135,Bar Orientation,1,diffOri,1,0,,
136,Button Pressed,2,,,,,
137,Stim 2 Onset,187.55584579698916,,,,,
138,Bar Orientation,2,sameOri,,0,,
139,Button Pressed,1,,2,,,
140,Stim 3 Onset,189.5566975260008,,,,,
141,Bar Orientation,0,diffOri,NR,0,,
142,Stim 0 Onset,196.55919229799474,9 (HAP_M03),,,,
143,Button Pressed,2,,,,,
144,Button Pressed,1,,1,1,,
145,Stim 1 Onset,198.5557975799893,3 (FEA_M12),NR,0,,
146,Stim 2 Onset,200.55583650399058,10 (HAP_M05),,1,,
147,Button Pressed,1,,1,,,
148,Button Pressed,1,,,,,
149,Stim 3 Onset,202.55616417399142,18 (NEU_F07),,1,,
150,Button Pressed,2,,2,,,
151,Stim 0 Onset,209.5589752800006,,,,,
152,Bar Orientation,1,diffOri,1,1,,
153,Button Pressed,1,,,,,
154,Stim 1 Onset,211.5559628649935,,,,,
155,Bar Orientation,2,sameOri,2,1,,
156,Button Pressed,2,,,,,
157,Stim 2 Onset,213.55598682900018,,,,,
158,Bar Orientation,3,sameOri,2,0,,
159,Button Pressed,1,,,,,
160,Stim 3 Onset,215.55584595398977,,,,,
161,Bar Orientation,1,diffOri,1,0,,
162,Button Pressed,2,,,,,
